"nct_id","phase","overall_status","start_year","country_name","is_uk"
NCT05173987,PHASE3,ACTIVE_NOT_RECRUITING,2022,Norway,false
NCT05173987,PHASE3,ACTIVE_NOT_RECRUITING,2022,Poland,false
NCT05173987,PHASE3,ACTIVE_NOT_RECRUITING,2022,Russia,false
NCT05173987,PHASE3,ACTIVE_NOT_RECRUITING,2022,South Korea,false
NCT05173987,PHASE3,ACTIVE_NOT_RECRUITING,2022,Spain,false
NCT05173987,PHASE3,ACTIVE_NOT_RECRUITING,2022,Sweden,false
NCT05173987,PHASE3,ACTIVE_NOT_RECRUITING,2022,Taiwan,false
NCT05173987,PHASE3,ACTIVE_NOT_RECRUITING,2022,Turkey (Türkiye),false
NCT05173987,PHASE3,ACTIVE_NOT_RECRUITING,2022,United Kingdom,true
NCT05173987,PHASE3,ACTIVE_NOT_RECRUITING,2022,United States,false
NCT05174000,PHASE1,COMPLETED,2022,China,false
NCT05174013,PHASE1,COMPLETED,2022,Australia,false
NCT05174065,PHASE3,COMPLETED,2022,Japan,false
NCT05174221,PHASE1,COMPLETED,2022,Australia,false
NCT05174221,PHASE1,COMPLETED,2022,China,false
NCT05174221,PHASE1,COMPLETED,2022,Hungary,false
NCT05174221,PHASE1,COMPLETED,2022,Italy,false
NCT05174221,PHASE1,COMPLETED,2022,Japan,false
NCT05174221,PHASE1,COMPLETED,2022,Singapore,false
NCT05174221,PHASE1,COMPLETED,2022,South Korea,false
NCT05174221,PHASE1,COMPLETED,2022,Spain,false
NCT05174221,PHASE1,COMPLETED,2022,Taiwan,false
NCT05174221,PHASE1,COMPLETED,2022,United Kingdom,true
NCT05174221,PHASE1,COMPLETED,2022,United States,false
NCT05174312,NA,COMPLETED,2022,United States,false
NCT05174416,PHASE3,COMPLETED,2022,China,false
NCT05174585,PHASE1/PHASE2,COMPLETED,2022,China,false
NCT05174598,PHASE3,COMPLETED,2018,India,false
NCT05174637,PHASE1,ACTIVE_NOT_RECRUITING,2021,China,false
NCT05174806,PHASE2,COMPLETED,2022,United States,false
NCT05175105,PHASE3,ACTIVE_NOT_RECRUITING,2022,Canada,false
NCT05175105,PHASE3,ACTIVE_NOT_RECRUITING,2022,France,false
NCT05175105,PHASE3,ACTIVE_NOT_RECRUITING,2022,Germany,false
NCT05175105,PHASE3,ACTIVE_NOT_RECRUITING,2022,Netherlands,false
NCT05175105,PHASE3,ACTIVE_NOT_RECRUITING,2022,Spain,false
NCT05175105,PHASE3,ACTIVE_NOT_RECRUITING,2022,Switzerland,false
NCT05175105,PHASE3,ACTIVE_NOT_RECRUITING,2022,United States,false
NCT05175131,PHASE3,COMPLETED,2020,Russia,false
NCT05175352,PHASE1,COMPLETED,2022,United States,false
NCT05175625,PHASE3,COMPLETED,2021,Iran,false
NCT05175742,PHASE2,COMPLETED,2021,Canada,false
NCT05175742,PHASE2,COMPLETED,2021,South Africa,false
NCT05176093,PHASE2,COMPLETED,2021,South Korea,false
NCT05176093,PHASE2,COMPLETED,2021,United States,false
NCT05176210,PHASE1,COMPLETED,2023,Taiwan,false
NCT05176314,PHASE1,COMPLETED,2022,United States,false
NCT05176366,PHASE1,TERMINATED,2022,United States,false
NCT05176483,PHASE1,RECRUITING,2021,Australia,false
NCT05176483,PHASE1,RECRUITING,2021,Austria,false
NCT05176483,PHASE1,RECRUITING,2021,Belgium,false
NCT05176483,PHASE1,RECRUITING,2021,France,false
NCT05176483,PHASE1,RECRUITING,2021,Germany,false
NCT05176483,PHASE1,RECRUITING,2021,Israel,false
NCT05176483,PHASE1,RECRUITING,2021,Italy,false
NCT05176483,PHASE1,RECRUITING,2021,New Zealand,false
NCT05176483,PHASE1,RECRUITING,2021,Poland,false
NCT05176483,PHASE1,RECRUITING,2021,Spain,false
NCT05176483,PHASE1,RECRUITING,2021,Switzerland,false
NCT05176483,PHASE1,RECRUITING,2021,United Kingdom,true
NCT05176483,PHASE1,RECRUITING,2021,United States,false
NCT05176509,PHASE1,COMPLETED,2022,Australia,false
NCT05176639,PHASE3,COMPLETED,2022,Australia,false
NCT05176639,PHASE3,COMPLETED,2022,France,false
NCT05176639,PHASE3,COMPLETED,2022,Germany,false
