"nct_id","phase","overall_status","start_year","country_name","is_uk"
NCT05186818,PHASE3,COMPLETED,2022,Portugal,false
NCT05186818,PHASE3,COMPLETED,2022,Spain,false
NCT05186818,PHASE3,COMPLETED,2022,United Kingdom,true
NCT05186818,PHASE3,COMPLETED,2022,United States,false
NCT05186909,PHASE2,COMPLETED,2022,China,false
NCT05186922,PHASE1/PHASE2,UNKNOWN,2022,China,false
NCT05186974,PHASE2,ACTIVE_NOT_RECRUITING,2022,Australia,false
NCT05186974,PHASE2,ACTIVE_NOT_RECRUITING,2022,Canada,false
NCT05186974,PHASE2,ACTIVE_NOT_RECRUITING,2022,France,false
NCT05186974,PHASE2,ACTIVE_NOT_RECRUITING,2022,Germany,false
NCT05186974,PHASE2,ACTIVE_NOT_RECRUITING,2022,Hong Kong,false
NCT05186974,PHASE2,ACTIVE_NOT_RECRUITING,2022,Italy,false
NCT05186974,PHASE2,ACTIVE_NOT_RECRUITING,2022,Malaysia,false
NCT05186974,PHASE2,ACTIVE_NOT_RECRUITING,2022,South Korea,false
NCT05186974,PHASE2,ACTIVE_NOT_RECRUITING,2022,Spain,false
NCT05186974,PHASE2,ACTIVE_NOT_RECRUITING,2022,Taiwan,false
NCT05186974,PHASE2,ACTIVE_NOT_RECRUITING,2022,United Kingdom,true
NCT05186974,PHASE2,ACTIVE_NOT_RECRUITING,2022,United States,false
NCT05187169,PHASE1,COMPLETED,2021,United States,false
NCT05187403,PHASE1,COMPLETED,2021,Austria,false
NCT05187546,PHASE1,COMPLETED,2022,Germany,false
NCT05187624,PHASE1,COMPLETED,2022,Australia,false
NCT05187624,PHASE1,COMPLETED,2022,Canada,false
NCT05187624,PHASE1,COMPLETED,2022,Denmark,false
NCT05187624,PHASE1,COMPLETED,2022,Spain,false
NCT05187624,PHASE1,COMPLETED,2022,United States,false
NCT05187793,PHASE3,UNKNOWN,2021,Russia,false
NCT05187832,PHASE1,RECRUITING,2022,United States,false
NCT05187858,PHASE1,COMPLETED,2020,Belgium,false
NCT05187858,PHASE1,COMPLETED,2020,Netherlands,false
NCT05187858,PHASE1,COMPLETED,2020,United Kingdom,true
NCT05188209,PHASE2,UNKNOWN,2021,China,false
NCT05188261,PHASE1,COMPLETED,2022,United States,false
NCT05188378,PHASE1,UNKNOWN,2021,South Korea,false
NCT05188417,PHASE2,UNKNOWN,2021,China,false
NCT05188638,PHASE1,COMPLETED,2021,Denmark,false
